"Time","kWh"
2022-10-11 22:44:23,19.10
2022-10-11 22:44:53,19.12
2022-10-11 22:45:23,19.15
2022-10-11 22:45:53,19.17
2022-10-11 22:53:53,19.19
2022-10-11 23:02:23,19.21
2022-10-11 23:07:53,19.22
2022-10-11 23:08:23,19.24
2022-10-11 23:08:53,19.26
2022-10-11 23:09:23,19.28
2022-10-11 23:09:53,19.30
2022-10-11 23:10:53,19.31
2022-10-11 23:11:23,19.32
2022-10-11 23:18:23,19.34
2022-10-11 23:26:53,19.36
2022-10-11 23:33:54,19.38
2022-10-11 23:37:54,19.39
2022-10-11 23:38:23,19.41
2022-10-11 23:38:54,19.43
2022-10-11 23:39:23,19.45
2022-10-11 23:39:53,19.47
2022-10-11 23:40:24,19.48
2022-10-11 23:42:23,19.50
2022-10-11 23:50:53,19.51
2022-10-11 23:58:23,19.53
2022-10-12 00:06:53,19.55
2022-10-12 00:07:23,19.56
2022-10-12 00:07:53,19.58
2022-10-12 00:08:23,19.60
2022-10-12 00:08:53,19.62
2022-10-12 00:09:23,19.65
2022-10-12 00:13:54,19.66
2022-10-12 00:14:23,19.67
2022-10-12 00:21:54,19.69
2022-10-12 00:30:23,19.70
2022-10-12 00:30:53,19.71
2022-10-12 00:36:24,19.73
2022-10-12 00:36:54,19.75
2022-10-12 00:37:24,19.77
2022-10-12 00:37:54,19.80
2022-10-12 00:38:23,19.81
2022-10-12 00:45:53,19.82
2022-10-12 00:48:24,19.83
2022-10-12 00:51:54,19.84
2022-10-12 00:58:54,19.85
2022-10-12 00:59:24,19.86
2022-10-12 01:00:23,19.87
2022-10-12 01:00:54,19.89
2022-10-12 01:01:24,19.92
2022-10-12 01:01:54,19.94
2022-10-12 01:02:24,19.96
2022-10-12 01:06:24,19.98
2022-10-12 01:12:54,20.00
2022-10-12 01:19:54,20.01
2022-10-12 01:26:24,20.02
2022-10-12 01:26:54,20.03
2022-10-12 01:28:24,20.04
2022-10-12 01:28:54,20.07
2022-10-12 01:29:24,20.09
2022-10-12 01:29:54,20.11
2022-10-12 01:30:24,20.13
2022-10-12 01:32:54,20.15
2022-10-12 01:39:23,20.17
2022-10-12 01:45:54,20.18
2022-10-12 01:50:54,20.20
2022-10-12 01:56:24,20.21
2022-10-12 01:56:54,20.24
2022-10-12 01:57:24,20.26
2022-10-12 01:57:54,20.28
2022-10-12 01:58:24,20.30
2022-10-12 01:58:54,20.32
2022-10-12 02:05:24,20.33
2022-10-12 02:05:54,20.34
2022-10-12 02:11:24,20.35
2022-10-12 02:11:54,20.36
2022-10-12 02:17:54,20.38
2022-10-12 02:24:24,20.40
2022-10-12 02:24:54,20.41
2022-10-12 02:25:24,20.43
2022-10-12 02:25:54,20.45
2022-10-12 02:26:24,20.47
2022-10-12 02:26:54,20.49
2022-10-12 02:30:24,20.50
2022-10-12 02:30:54,20.52
2022-10-12 02:37:54,20.54
2022-10-12 02:44:24,20.56
2022-10-12 02:50:54,20.58
2022-10-12 02:51:54,20.59
2022-10-12 02:52:24,20.61
2022-10-12 02:52:54,20.63
2022-10-12 02:53:24,20.65
2022-10-12 02:53:54,20.67
2022-10-12 02:54:24,20.68
2022-10-12 02:57:54,20.69
2022-10-12 03:04:24,20.71
2022-10-12 03:10:54,20.74
2022-10-12 03:17:54,20.75
2022-10-12 03:18:54,20.76
2022-10-12 03:19:24,20.78
2022-10-12 03:19:54,20.80
2022-10-12 03:20:24,20.82
2022-10-12 03:20:54,20.84
2022-10-12 03:21:24,20.85
2022-10-12 03:24:54,20.87
2022-10-12 03:30:54,20.89
2022-10-12 03:37:24,20.91
2022-10-12 03:44:24,20.93
2022-10-12 03:46:24,20.94
2022-10-12 03:46:54,20.97
2022-10-12 03:47:24,20.99
2022-10-12 03:47:54,21.01
2022-10-12 03:48:24,21.03
2022-10-12 03:50:54,21.05
2022-10-12 03:57:54,21.07
2022-10-12 04:04:54,21.09
2022-10-12 05:28:24,21.10
2022-10-12 08:14:25,21.12
2022-10-12 08:14:55,21.16
2022-10-12 08:15:25,21.22
2022-10-12 08:15:55,21.27
2022-10-12 08:16:25,21.31
2022-10-12 08:16:55,21.34
2022-10-12 08:17:25,21.36
2022-10-12 08:17:55,21.40
2022-10-12 08:18:25,21.42
2022-10-12 08:18:55,21.45
2022-10-12 08:19:25,21.49
2022-10-12 08:19:55,21.52
2022-10-12 08:20:25,21.56
2022-10-12 08:20:55,21.60
2022-10-12 08:21:25,21.62
2022-10-12 08:21:55,21.64
2022-10-12 08:22:25,21.68
2022-10-12 08:22:55,21.70
2022-10-12 08:23:25,21.72
2022-10-12 08:23:55,21.74
2022-10-12 08:24:25,21.76
2022-10-12 08:24:55,21.80
2022-10-12 08:25:25,21.84
2022-10-12 08:25:55,21.86
2022-10-12 08:26:25,21.89
2022-10-12 08:26:55,21.92
2022-10-12 08:27:25,21.94
2022-10-12 08:27:55,21.96
2022-10-12 08:28:25,21.98
2022-10-12 08:28:55,22.00
2022-10-12 08:29:25,22.03
2022-10-12 08:29:55,22.06
2022-10-12 08:30:25,22.10
2022-10-12 08:30:55,22.13
2022-10-12 08:31:25,22.16
2022-10-12 08:31:55,22.19
2022-10-12 08:32:25,22.21
2022-10-12 08:32:55,22.24
2022-10-12 08:33:25,22.26
2022-10-12 08:33:55,22.28
2022-10-12 08:34:25,22.34
2022-10-12 08:34:55,22.37
2022-10-12 08:35:25,22.40
2022-10-12 08:35:55,22.42
2022-10-12 08:36:25,22.45
2022-10-12 08:36:55,22.48
2022-10-12 08:37:25,22.50
2022-10-12 08:37:55,22.52
2022-10-12 08:38:25,22.54
2022-10-12 08:38:55,22.56
2022-10-12 08:39:25,22.58
2022-10-12 08:39:55,22.61
2022-10-12 08:40:25,22.63
2022-10-12 08:40:55,22.64
2022-10-12 08:41:25,22.66
2022-10-12 08:41:55,22.68
2022-10-12 08:42:25,22.70
2022-10-12 08:42:55,22.74
2022-10-12 08:43:25,22.76
2022-10-12 08:43:55,22.79
2022-10-12 08:44:25,22.82
2022-10-12 08:44:55,22.86
2022-10-12 08:45:25,22.89
2022-10-12 08:45:55,22.92
2022-10-12 08:46:25,22.95
2022-10-12 08:46:55,22.97
2022-10-12 08:47:25,23.02
2022-10-12 08:47:55,23.06
2022-10-12 08:48:25,23.08
2022-10-12 08:48:55,23.11
2022-10-12 08:49:25,23.13
2022-10-12 08:49:55,23.17
