"Time","kWh"
2022-10-27 11:14:48,26.99
2022-10-27 11:15:18,27.05
2022-10-27 11:15:48,27.11
2022-10-27 11:16:18,27.12
2022-10-27 11:16:48,27.20
2022-10-27 11:17:18,27.23
2022-10-27 11:17:48,27.29
2022-10-27 11:18:18,27.33
2022-10-27 11:18:48,27.38
2022-10-27 11:19:18,27.50
2022-10-27 11:20:18,27.59
2022-10-27 11:21:18,27.69
2022-10-27 11:21:48,27.71
2022-10-27 11:22:18,27.76
2022-10-27 11:22:48,27.84
2022-10-27 11:23:18,27.86
2022-10-27 11:23:48,27.97
2022-10-27 11:24:48,28.06
2022-10-27 11:25:48,28.16
2022-10-27 11:26:48,28.25
2022-10-27 11:27:18,28.30
2022-10-27 11:27:48,28.36
2022-10-27 11:28:18,28.39
2022-10-27 11:28:48,28.42
2022-10-27 11:29:18,28.50
2022-10-27 11:29:48,28.54
2022-10-27 11:30:18,28.59
2022-10-27 11:30:48,28.63
2022-10-27 11:31:18,28.68
2022-10-27 11:31:48,28.79
2022-10-27 11:32:18,28.81
2022-10-27 11:32:48,28.86
2022-10-27 11:33:18,28.89
2022-10-27 11:33:48,28.97
2022-10-27 11:34:48,29.06
2022-10-27 11:35:48,29.16
2022-10-27 11:36:18,29.17
2022-10-27 11:36:48,29.23
2022-10-27 11:40:48,29.24
2022-10-27 11:46:18,29.25
2022-10-27 15:37:49,29.52
2022-10-27 15:38:19,29.86
2022-10-27 15:38:49,30.20
2022-10-27 15:39:19,30.53
2022-10-27 15:39:49,30.62
2022-10-27 15:40:19,30.78
2022-10-27 15:40:49,30.91
2022-10-27 15:41:49,31.05
2022-10-27 15:42:19,31.06
2022-10-27 15:42:49,31.10
2022-10-27 15:43:19,31.27
2022-10-27 15:43:48,31.28
2022-10-27 15:44:19,31.33
2022-10-27 15:44:49,31.37
2022-10-27 15:45:18,31.43
2022-10-27 15:45:49,31.45
2022-10-27 15:46:18,31.46
2022-10-27 15:46:48,31.53
2022-10-27 15:47:18,31.66
2022-10-27 15:47:48,31.67
2022-10-27 15:48:48,31.68
2022-10-27 15:49:18,31.75
2022-10-27 15:50:18,31.76
2022-10-27 15:50:48,31.82
2022-10-27 15:51:48,31.83
2022-10-27 15:52:19,31.89
2022-10-27 15:52:48,31.90
2022-10-27 15:53:18,31.91
2022-10-27 15:53:49,31.97
2022-10-27 15:54:48,31.98
2022-10-27 15:56:19,32.30
2022-10-27 15:56:48,32.35
2022-10-27 15:57:49,32.46
2022-10-27 15:58:49,32.54
2022-10-27 15:59:19,32.55
2022-10-27 15:59:48,32.62
2022-10-27 16:00:48,32.70
2022-10-27 16:02:18,32.93
2022-10-27 16:03:18,32.94
2022-10-27 16:04:18,33.01
2022-10-27 16:05:18,33.09
2022-10-27 16:06:18,33.12
2022-10-27 16:06:49,33.17
2022-10-27 16:07:19,33.24
2022-10-27 16:07:49,33.31
2022-10-27 16:11:49,33.32
2022-10-27 16:16:49,33.33
